cards,deck_count
"['Rowan, Scion of War', 'Storm-Kiln Artist', 'Searing Touch']",860
"['Fury Storm', 'Professor Onyx']",856
"['Bladewing the Risen', 'Saw in Half']",849
"['Mikaeus, the Unhallowed', 'Murderous Redcap', 'Phyrexian Altar']",846
"['Mahadi, Emporium Master', 'Revel in Riches', 'Woe Strider']",836
"['Deathbringer Thoctar', 'Archetype of Finality']",831
"['Gev, Scaled Scorch', 'Blasting Station']",801
"['Heartless Hidetsugu', 'Tainted Strike']",798
"['Greven, Predator Captain', 'Blood Celebrant']",769
['Fire Covenant'],764
"['Gev, Scaled Scorch', 'Woe Strider']",750
"['Grenzo, Dungeon Warden', 'Workhorse', 'Tomb Trawler']",743
"['Chthonian Nightmare', 'Priest of Gix', 'Priest of Urabrask']",733
"['Squee, the Immortal', 'Food Chain']",21833
"['Polyraptor', 'Marauding Raptor']",19104
"['Dockside Extortionist', 'Temur Sabertooth']",17521
"['Old Gnawbone', 'Hellkite Charger']",16446
"['Aggravated Assault', 'Old Gnawbone']",12291
"['Savage Ventmaw', 'Aggravated Assault']",12030
"['Polyraptor', 'Forerunner of the Empire']",11620
"['Aggravated Assault', 'Bear Umbra']",10763
"['Aggravated Assault', 'Selvala, Heart of the Wilds']",9806
"['Kodama of the East Tree', 'Gruul Turf', 'Rampaging Baloths']",8954
"['Kodama of the East Tree', 'Gruul Turf', 'Scute Swarm']",8246
"['Kodama of the East Tree', 'Gruul Turf', 'Omnath, Locus of Rage']",8003
"['Kodama of the East Tree', 'Tireless Provisioner', 'Gruul Turf']",7765
"['Aggravated Assault', ""Nature's Will""]",6218
"['Grand Warlord Radha', 'Aggravated Assault']",5386
"['Dockside Extortionist', 'Twinflame', 'Eternal Witness']",5124
"['Polyraptor', 'Warstorm Surge']",4598
"['Kodama of the East Tree', 'Tireless Tracker', 'Gruul Turf']",3977
"['Kodama of the East Tree', 'Gruul Turf', ""Zendikar's Roil""]",3923
"['The Great Henge', 'Goblin Bombardment']",3631
"['Grand Warlord Radha', 'Hellkite Charger']",3561
"['Sanctum Weaver', 'Aggravated Assault']",3534
"['Kiki-Jiki, Mirror Breaker', 'Hyrax Tower Scout']",3260
"['Hellkite Charger', 'Bear Umbra']",3078
"['Polyraptor', 'Forerunner of the Empire', 'Rite of Passage']",2913
"['Anara, Wolvid Familiar']",2807
"['Glacial Chasm', 'Mina and Denn, Wildborn', 'Ramunap Excavator']",2770
"['Xenagos, God of Revels', 'Malignus', ""Chandra's Ignition""]",2751
"['Vrondiss, Rage of Ancients', 'Scourge of Valkas']",2658
"['Cacophodon', 'Rite of Passage', 'Pyrohemia']",2528
"['Lightning Runner', 'Aetherwind Basker']",2488
"['Polyraptor', 'Goblin Bombardment']",2439
"[""Druids' Repository"", 'Aggravated Assault']",2429
"['Glacial Chasm', 'Mina and Denn, Wildborn', 'Crucible of Worlds']",2407
"['Vrondiss, Rage of Ancients', 'Warstorm Surge']",2345
"['Perilous Forays', 'Omnath, Locus of Rage', 'Lotus Cobra']",2313
"['Jolene, the Plunder Queen', 'Goldspan Dragon', 'Aggravated Assault']",2013
"['Aggravated Assault', 'Elven Chorus']",1988
"['Glacial Chasm', 'Mina and Denn, Wildborn', 'Conduit of Worlds']",1958
"['Aggravated Assault', 'Cryptolith Rite']",1926
"['Vrondiss, Rage of Ancients', 'Dragon Tempest']",1871
"['Glint-Horn Buccaneer', 'Keen Sense']",1789
"['Perilous Forays', 'Omnath, Locus of Rage', 'Tireless Provisioner']",1770
"['Thromok the Insatiable', ""Chandra's Ignition""]",1762
"['Magus of the Candelabra', 'Staff of Domination', 'Mana Flare']",1702
"['Grand Warlord Radha', 'Hellkite Charger', 'Savage Ventmaw']",1665
"['Kodama of the East Tree', 'Toggo, Goblin Weaponsmith', 'Gruul Turf']",1630
"['Magus of the Candelabra', 'Staff of Domination', 'Zhur-Taa Ancient']",1617
"['Anzrag, the Quake-Mole', 'Last Night Together']",1615
"['Jolene, the Plunder Queen', 'Goldspan Dragon', 'Hellkite Charger']",1574
"['Kodama of the East Tree', 'Gruul Turf', 'Springheart Nantuko']",1567
"['Aggravated Assault', 'Enduring Vitality']",1539
"['Kodama of the East Tree', 'Gruul Turf', 'Nesting Dragon']",1534
"['Kodama of the East Tree', 'Guildless Commons', 'Omnath, Locus of Rage']",1533
"['Yarus, Roar of the Old Gods', 'Ashcloud Phoenix', 'Goblin Bombardment']",1518
"['Kodama of the East Tree', 'Gruul Turf', 'Greensleeves, Maro-Sorcerer']",1507
"['Vrondiss, Rage of Ancients', 'Terror of the Peaks']",1505
"['Raggadragga, Goreguts Boss', 'Viridian Joiner', 'Wurmcalling']",1487
"['Raggadragga, Goreguts Boss', 'Marwyn, the Nurturer', 'Wurmcalling']",1441
"['Ivy Lane Denizen', 'Goblin Bombardment']",1418
"['Yarus, Roar of the Old Gods', 'Ashcloud Phoenix', ""Ashnod's Altar""]",1392
"['Agatha of the Vile Cauldron', ""Silvanus's Invoker"", 'Gruul Turf']",1374
"['Polyraptor', 'Aether Flash']",1369
"['Raggadragga, Goreguts Boss', 'Temur Sabertooth', 'Marwyn, the Nurturer']",1290
"['Agatha of the Vile Cauldron', 'Magus of the Candelabra', 'Umbral Mantle']",1276
"['Fire Ants', 'Cacophodon', 'Rite of Passage']",1236
"['Hellkite Charger', ""Nature's Will""]",1224
"['Polyraptor', 'Terror of the Peaks']",1208
"['Rite of Passage', 'Forerunner of the Empire', 'Raptor Hatchling']",1200
"['Hellkite Courser', 'Cloudstone Curio', 'Food Chain']",1189
"['Raggadragga, Goreguts Boss', 'Temur Sabertooth', 'Viridian Joiner']",1189
"['Academy Manufactor', 'Peregrin Took', 'Stimulus Package']",1119
"['Aggravated Assault', 'Bear Umbra', 'Pako, Arcane Retriever']",1104
"['Raggadragga, Goreguts Boss', 'Temur Sabertooth', 'Selvala, Heart of the Wilds']",1099
"['Omnath, Locus of Rage', 'Kodama of the East Tree', 'Living Twister']",1084
"['Kodama of the East Tree', 'Toggo, Goblin Weaponsmith', 'Guildless Commons']",1057
"['Raggadragga, Goreguts Boss', 'Heronblade Elite', 'Wurmcalling']",1047
"['Raggadragga, Goreguts Boss', 'Heronblade Elite', 'Fanning the Flames']",1003
"['Hellkite Charger', ""Druids' Repository""]",994
"['Kodama of the East Tree', 'Living Twister', 'Scute Swarm']",986
"['Redshift, Rocketeer Chief', 'Umbral Mantle']",982
"['Kodama of the East Tree', 'Living Twister', 'Tireless Provisioner']",952
"['Raggadragga, Goreguts Boss', 'Selvala, Heart of the Wilds', 'Wurmcalling']",944
"['Raggadragga, Goreguts Boss', 'Temur Sabertooth', 'Heronblade Elite']",917
"['Redshift, Rocketeer Chief', 'Staff of Domination']",909
"['Yedora, Grave Gardener', 'Nervous Gardener', 'Goblin Bombardment']",892
"['Conspicuous Snoop', 'Kiki-Jiki, Mirror Breaker', 'Worldly Tutor']",885
"['Kodama of the East Tree', 'Living Twister', 'Rampaging Baloths']",881
"['Raggadragga, Goreguts Boss', 'Selvala, Heart of the Wilds', 'Fanning the Flames']",881
"['Staff of Domination', 'Leafkin Avenger']",824
"['Radha, Heir to Keld', 'Savage Ventmaw', 'Hellkite Charger']",818
"['Master Chef', 'Goblin Bombardment']",817
"['Agatha of the Vile Cauldron', ""Silvanus's Invoker"", 'Castle Garenbrig']",795
"['Redshift, Rocketeer Chief', 'Aggravated Assault']",792
"['Agatha of the Vile Cauldron', 'Magus of the Candelabra', 'Staff of Domination']",783
"['Temur Sabertooth', 'Selvala, Heart of the Wilds', 'Urabrask the Hidden']",735
"['Grumgully, the Generous', 'Aerie Ouphes']",731
"['Hellkite Charger', 'Savage Ventmaw', ""Druids' Repository""]",725
"['Redshift, Rocketeer Chief', 'Sword of the Paruns']",711
"['Woodfall Primus', 'Rhythm of the Wild', ""Ashnod's Altar""]",684
"['Rosie Cotton of South Lane', 'Scurry Oak']",13810
"['Devoted Druid', 'Swift Reconfiguration']",11874
"['Basking Broodscale', 'Rosie Cotton of South Lane']",8949
"['Emeria Shepherd', 'Sakura-Tribe Elder']",7805
"['Kodama of the East Tree', 'Selesnya Sanctuary', 'Scute Swarm']",6326
"['Rosie Cotton of South Lane', 'Herd Baloth']",6050
"['Kodama of the East Tree', 'Selesnya Sanctuary', 'Felidar Retreat']",5698
"['Scurry Oak', ""Cathars' Crusade""]",5692
"['Kudo, King Among Bears', 'Elesh Norn, Grand Cenobite']",5523
"['Siona, Captain of the Pyleas', 'Shielded by Faith']",5467
"['Kodama of the East Tree', 'Tireless Provisioner', 'Selesnya Sanctuary']",5318
"['Eldrazi Displacer', 'Brood Monitor']",4879
"['Kodama of the East Tree', 'Selesnya Sanctuary', 'Rampaging Baloths']",4610
"['Herd Baloth', ""Cathars' Crusade""]",4414
"['Spike Feeder', 'Heliod, Sun-Crowned']",4233
"['Basking Broodscale', ""Cathars' Crusade""]",4196
"['Devoted Druid', 'Vizier of Remedies']",4119
"['Armageddon', 'Heroic Intervention']",3886
"['Spike Feeder', 'Archangel of Thune']",3493
"['Village Bell-Ringer', 'Emiel the Blessed']",3358
"['Cleric Class', 'Spike Feeder']",3262
"['Saffi Eriksdotter', 'Karmic Guide', 'Altar of Dementia']",3101
"['Emiel the Blessed', 'Enduring Vitality']",2989
"['Emiel the Blessed', 'Felidar Guardian', ""Gaea's Cradle""]",2935
"['Aluren', 'Whitemane Lion']",2886
"['Saffi Eriksdotter', 'Reveillark', 'Altar of Dementia']",2675
"['Kodama of the East Tree', 'Tireless Tracker', 'Selesnya Sanctuary']",2591
"['Kodama of the East Tree', 'Selesnya Sanctuary', 'Emeria Angel']",2527
"['Saffi Eriksdotter', 'Karmic Guide', ""Ashnod's Altar""]",2510
"['Midnight Guard', 'Presence of Gond']",2507
"['Village Bell-Ringer', 'Temur Sabertooth']",2471
"['Sanctum Weaver', 'Gauntlets of Light']",2458
"['Kodama of the East Tree', 'Selesnya Sanctuary', ""Zendikar's Roil""]",2381
"['Saffi Eriksdotter', 'Sun Titan', 'Altar of Dementia']",2342
"['Saffi Eriksdotter', 'Reveillark', ""Ashnod's Altar""]",2194
"['Treebeard, Gracious Host', 'Scurry Oak', 'Essence Warden']",2077
"['Staff of Domination', 'Faeburrow Elder']",2050
"['Wildwood Scourge', 'Enduring Scalelord']",2029
"['Saffi Eriksdotter', 'Sun Titan', ""Ashnod's Altar""]",1926
"['Meticulous Excavation', 'Sanctum Weaver']",1730
"['Yenna, Redtooth Regent', 'Three Blind Mice', 'Doubling Season']",1668
"[""Abdel Adrian, Gorion's Ward"", 'Eternal Witness', 'Ephemerate']",1667
"['Calix, Guided by Fate', 'Three Blind Mice', 'Doubling Season']",1652
"['Cleric Class', 'Scurry Oak', 'Soul Warden']",1619
"['Saffi Eriksdotter', 'Karmic Guide', 'Phyrexian Altar']",1605
"['Kodama of the East Tree', 'Selesnya Sanctuary', 'Springheart Nantuko']",1599
"[""Abdel Adrian, Gorion's Ward"", 'Emiel the Blessed']",1583
"['Peregrin Took', 'Treebeard, Gracious Host', 'Scurry Oak', 'Prize Pig', 'Sam, Loyal Attendant']",1572
"['Elesh Norn, Grand Cenobite', ""Nature's Revolt""]",1568
"['Heliod, Sun-Crowned', 'Scurry Oak', 'Soul Warden']",1524
"['Renegade Rallier', 'Saffi Eriksdotter', 'Altar of Dementia']",1501
"['Emiel the Blessed', 'Faeburrow Elder', 'Lightning Greaves']",1460
"['Sanctum Weaver', 'Seedcradle Witch']",1415
"['Spike Feeder', 'Light of Promise']",1415
"['Emiel the Blessed', 'Cryptolith Rite']",1376
"['Eldrazi Displacer', 'Eyeless Watcher', 'Parallel Lives']",1371
"['Saffi Eriksdotter', 'Reveillark', 'Phyrexian Altar']",1368
"['Renegade Rallier', 'Saffi Eriksdotter', ""Ashnod's Altar""]",1364
"['Samwise Gamgee', 'Syr Ginger, the Meal Ender', 'Gingerbrute', 'Academy Manufactor', 'Peregrin Took']",1351
"['Treebeard, Gracious Host', 'Scurry Oak', 'Soul Warden']",1350
"['Cleric Class', 'Scurry Oak', ""Soul's Attendant""]",1264
"['Kodama of the East Tree', 'Selesnya Sanctuary', 'Maja, Bretagard Protector']",1255
"['Kodama of the East Tree', 'Selesnya Sanctuary', 'Greensleeves, Maro-Sorcerer']",1234
"['Ayula, Queen Among Bears', 'Basking Broodscale', 'Kudo, King Among Bears']",1218
"['Heliod, Sun-Crowned', 'Scurry Oak', ""Soul's Attendant""]",1204
"[""Abdel Adrian, Gorion's Ward"", 'Eternal Witness', 'Cloudshift']",1202
"['Wirewood Symbiote', 'Mirror Entity', 'Priest of Titania']",1172
"['Emiel the Blessed', 'Elven Chorus']",1138
"['Living Plane', 'Elesh Norn, Grand Cenobite']",1114
"['Eldrazi Displacer', ""Kozilek's Predator"", 'Parallel Lives']",1107
"['Farmer Cotton', 'Samwise Gamgee', 'Academy Manufactor', ""Ashnod's Altar""]",1104
"['Eldrazi Displacer', 'Eyeless Watcher', 'Anointed Procession']",1072
"['Saffi Eriksdotter', 'Sun Titan', 'Phyrexian Altar']",1068
"['Treebeard, Gracious Host', 'Scurry Oak', ""Soul's Attendant""]",1043
"['Loyal Retainers', 'Saffi Eriksdotter']",1032
"['Samwise Gamgee', 'Jaheira, Friend of the Forest', 'Syr Ginger, the Meal Ender', 'Gingerbrute', 'Peregrin Took']",991
"['Vigor', 'Conclave Mentor', 'Walking Ballista']",986
"['Heliod, Sun-Crowned', 'Scurry Oak', 'Prosperous Innkeeper']",946
"['Kodama of the East Tree', 'Selesnya Sanctuary', 'Retreat to Emeria']",930
"['Black Panther, Wakandan King', 'Ashaya, Soul of the Wild', 'Basking Broodscale']",918
"['Renegade Rallier', 'Saffi Eriksdotter', 'Blasting Station']",916
"['Aluren', 'Fleetfoot Panther']",911
"['Wirewood Symbiote', 'Mirror Entity', 'Elvish Archdruid']",903
"['Renegade Rallier', 'Saffi Eriksdotter', 'Phyrexian Altar']",884
"['Emiel the Blessed', 'Brood Monitor']",870
"['Eldrazi Displacer', ""Kozilek's Predator"", 'Anointed Procession']",855
"['Emiel the Blessed', 'Jaheira, Friend of the Forest', 'Academy Manufactor', 'Samwise Gamgee']",827
"['Saffi Eriksdotter', 'Sun Titan', 'Blasting Station']",800
"['Perilous Forays', 'Tireless Provisioner', 'Felidar Retreat']",768
"['Cleric Class', 'Herd Baloth', 'Soul Warden']",755
"['Perilous Forays', 'Lotus Cobra', 'Felidar Retreat']",736
"['Yenna, Redtooth Regent', 'Three Blind Mice', 'Barbara Wright']",722
"['Emiel the Blessed', 'Jaheira, Friend of the Forest', 'Academy Manufactor', 'Gilded Goose']",716
"['Wirewood Symbiote', 'Mirror Entity', 'Marwyn, the Nurturer']",715
"['Linvala, Keeper of Silence', 'Living Plane']",707
"['Emiel the Blessed', 'Felidar Guardian', 'Chromatic Orrery']",696
"['Samwise Gamgee', 'Syr Ginger, the Meal Ender', 'Gingerbrute', 'Academy Manufactor', 'Parallel Lives']",688
"['Kodama of the East Tree', 'Guildless Commons', 'Felidar Retreat']",668
"['Emiel the Blessed', 'Earthcraft']",656
"['Heliod, Sun-Crowned', 'Herd Baloth', 'Soul Warden']",637
"['Luminous Broodmoth', 'Viscera Seer']",14540
"['Beacon of Immortality', 'Sanguine Bond']",12801
"['Vito, Thorn of the Dusk Rose', 'Beacon of Immortality']",12341
"['Karmic Guide', 'Reveillark', 'Viscera Seer']",12071
"['Ratadrabik of Urborg', 'Boromir, Warden of the Tower']",11667
"['Exquisite Blood', 'Cliffhaven Vampire']",10990
"['Exquisite Blood', 'Vizkopa Guildmage']",10943
"[""Abdel Adrian, Gorion's Ward"", 'Animate Dead']",10571
"['Vito, Thorn of the Dusk Rose', 'Revival // Revenge']",9934
"['Luminous Broodmoth', 'Carrion Feeder']",9749
"['Leonin Relic-Warder', 'Animate Dead']",8424
"['Luminous Broodmoth', 'Yahenni, Undying Partisan']",7731
"[""Abdel Adrian, Gorion's Ward"", 'Necromancy']",7331
"['Luminous Broodmoth', 'Bartolomé del Presidio']",7275
"['Approach of the Second Sun', 'Demonic Tutor']",5723
"['Vizkopa Guildmage', 'Revival // Revenge']",5433
"[""Abdel Adrian, Gorion's Ward"", 'Dance of the Dead']",5298
"['Vizkopa Guildmage', 'Beacon of Immortality']",5269
"['Luminous Broodmoth', 'Pitiless Plunderer', 'Viscera Seer', 'Reassembling Skeleton']",4962
"['Astarion, the Decadent', 'Blood Tribute']",4805
"['Approach of the Second Sun', 'Vampiric Tutor']",4676
"['Ad Nauseam', ""Teferi's Protection""]",4440
"['Luminous Broodmoth', 'Phyrexian Altar', 'Reassembling Skeleton']",4079
"['Leonin Relic-Warder', 'Dance of the Dead']",4009
"['Luminous Broodmoth', 'Woe Strider']",3928
"['Enduring Tenacity', 'Beacon of Immortality']",3882
"['Leonin Relic-Warder', 'Necromancy']",3871
"['Luminous Broodmoth', 'Pitiless Plunderer', 'Carrion Feeder', 'Reassembling Skeleton']",3637
"['Warren Soultrader', 'Gravecrawler', 'Wayward Servant']",3313
"['Enduring Tenacity', 'Revival // Revenge']",3171
"['Sorin of House Markov', 'Revival // Revenge']",3090
"['Sun Titan', 'Karmic Guide', 'Animate Dead', 'Altar of Dementia']",3015
"['Tainted Sigil', 'Aetherflux Reservoir']",2988
"['Solemnity', 'Shilgengar, Sire of Famine']",2876
"['Sorin of House Markov', 'Beacon of Immortality']",2875
"['Bloodletter of Aclazotz', 'Revival // Revenge']",2780
"['Luminous Broodmoth', 'Pitiless Plunderer', 'Reassembling Skeleton', 'Yahenni, Undying Partisan']",2769
"['Bloodthirsty Conqueror', 'Cliffhaven Vampire']",2709
"['Karmic Guide', 'Fiend Hunter', 'Viscera Seer']",2696
"['Teysa Karlov', 'Pitiless Plunderer', 'Reassembling Skeleton', 'Altar of Dementia']",2550
"['Approach of the Second Sun', 'Diabolic Tutor']",2527
"['Karmic Guide', 'Reveillark', 'Woe Strider']",2385
"['Luminous Broodmoth', 'Pitiless Plunderer', 'Bartolomé del Presidio', 'Reassembling Skeleton']",2349
"['Ratadrabik of Urborg', ""Ashnod's Altar"", 'Samwise the Stouthearted']",2267
"['Teysa, Orzhov Scion', 'Darkest Hour', 'Viscera Seer']",2189
"['Serra Avatar', 'Swords to Plowshares', 'Sanguine Bond']",2186
"['Bloodthirsty Conqueror', 'Vizkopa Guildmage']",2157
"['Sun Titan', 'Karmic Guide', 'Animate Dead', ""Ashnod's Altar""]",2143
"['Mikaeus, the Unhallowed', 'Luminous Broodmoth', ""Ashnod's Altar""]",2093
"['Elenda, the Dusk Rose', 'Nim Deathmantle', ""Ashnod's Altar""]",2061
"['Teysa, Orzhov Scion', 'Darkest Hour', ""Ashnod's Altar""]",2053
"['Ratadrabik of Urborg', 'Viscera Seer', 'Samwise the Stouthearted']",1973
"['Beacon of Immortality', 'Tainted Remedy']",1916
"['Serra Avatar', 'Swords to Plowshares', 'Vito, Thorn of the Dusk Rose']",1840
"['Ratadrabik of Urborg', 'Samwise the Stouthearted', 'Yahenni, Undying Partisan']",1797
"['Ratadrabik of Urborg', 'Bartolomé del Presidio', 'Samwise the Stouthearted']",1779
"['Nether Traitor', 'Teysa, Orzhov Scion', 'Phyrexian Altar']",1779
"['Sun Titan', 'Fiend Hunter', 'Viscera Seer']",1778
"['Ratadrabik of Urborg', 'Gollum, Patient Plotter', ""Ashnod's Altar""]",1760
"['Ratadrabik of Urborg', 'Phyrexian Altar', 'Samwise the Stouthearted']",1673
"['Mikaeus, the Unhallowed', 'Luminous Broodmoth', 'Phyrexian Altar']",1658
"['Teysa, Orzhov Scion', 'Darkest Hour', 'Phyrexian Altar']",1658
"['Ratadrabik of Urborg', 'Gollum, Patient Plotter', 'Viscera Seer']",1651
"['Ad Nauseam', 'Phyrexian Unlife']",1639
"['Mikaeus, the Unhallowed', 'Luminous Broodmoth', 'Viscera Seer']",1636
"['Approach of the Second Sun', 'Necropotence']",1565
"['Marionette Master', ""Ashnod's Altar"", 'Eldrazi Displacer']",1565
"['Luminous Broodmoth', 'Pitiless Plunderer', 'Woe Strider', 'Reassembling Skeleton']",1556
"['Maha, Its Feathers Night', 'Elesh Norn, Grand Cenobite']",1496
"['Ratadrabik of Urborg', 'Altar of Dementia', 'Samwise the Stouthearted']",1488
"['Astarion, the Decadent', 'Quietus Spike']",1479
"['Ratadrabik of Urborg', 'Mondrak, Glory Dominus', 'Blade of Selves']",1475
"['Ratadrabik of Urborg', 'Gollum, Patient Plotter', 'Bartolomé del Presidio']",1359
"['Ratadrabik of Urborg', 'Nazgûl', ""Ashnod's Altar""]",1356
"['Sun Titan', 'Karmic Guide', 'Animate Dead', 'Phyrexian Altar']",1345
"['Teysa, Orzhov Scion', 'Darkest Hour', 'Blasting Station']",1334
"['Teysa, Orzhov Scion', 'Darkest Hour', 'Carrion Feeder']",1318
"['Ratadrabik of Urborg', 'Gollum, Patient Plotter', 'Phyrexian Altar']",1317
"['Elenda, the Dusk Rose', 'Nim Deathmantle', 'Phyrexian Altar']",1312
"['Ratadrabik of Urborg', 'Gollum, Patient Plotter', 'Yahenni, Undying Partisan']",1307
"['Warren Soultrader', 'Gravecrawler', 'Cruel Celebrant']",1303
"['Marionette Master', 'Krark-Clan Ironworks', 'Eldrazi Displacer']",1270
"['Ratadrabik of Urborg', 'Gollum, Patient Plotter', 'Altar of Dementia']",1251
"['Approach of the Second Sun', 'Demonic Consultation']",1219
"['Ratadrabik of Urborg', 'Nazgûl', 'Altar of Dementia']",1216
"['Ratadrabik of Urborg', 'Nazgûl', 'Viscera Seer']",1213
"['Elenda, the Dusk Rose', 'Animation Module', ""Ashnod's Altar""]",1195
"['Luminous Broodmoth', 'Pitiless Plunderer', 'Altar of Dementia', 'Reassembling Skeleton']",1183
"['Body Launderer', 'Karmic Guide', ""Ashnod's Altar""]",1157
"['Astarion, the Decadent', 'Fraying Omnipotence']",1157
"['Mite Overseer', ""Ashnod's Altar"", 'Elas il-Kor, Sadistic Pilgrim', 'Mondrak, Glory Dominus']",1149
"['Ratadrabik of Urborg', 'Nazgûl', 'Phyrexian Altar']",1135
"['Junji, the Midnight Sky', 'Karmic Guide', 'Zulaport Cutthroat', 'Viscera Seer']",1133
"['Vizkopa Guildmage', 'Swords to Plowshares', 'Serra Avatar']",1117
"['Mikaeus, the Unhallowed', 'Luminous Broodmoth', 'Yahenni, Undying Partisan']",1113
"['Body Launderer', 'Karmic Guide', 'Carrion Feeder']",1106
"['Junji, the Midnight Sky', 'Karmic Guide', 'Blood Artist', 'Viscera Seer']",1077
"['Vizkopa Guildmage', 'Children of Korlis', 'Toxic Deluge']",1075
"['Sun Titan', ""Kaya's Ghostform"", ""Ashnod's Altar""]",1059
"['Teysa, Orzhov Scion', 'Darkest Hour', 'Altar of Dementia']",1038
"['Underworld Breach', 'Lotus Petal', 'Brain Freeze']",59785
"['Underworld Breach', ""Lion's Eye Diamond"", 'Brain Freeze']",50491
"['Niv-Mizzet, Parun', 'Curiosity']",42488
"['Niv-Mizzet, Parun', 'Ophidian Eye']",24066
"['Niv-Mizzet, Parun', 'Tandem Lookout']",22030
"['Niv-Mizzet, the Firemind', 'Curiosity']",20973
"['Malcolm, Keen-Eyed Navigator', 'Glint-Horn Buccaneer']",17800
"['Displacer Kitten', 'Dockside Extortionist']",15103
"['Glint-Horn Buccaneer', 'Curiosity']",12594
"['Niv-Mizzet, Visionary', 'Niv-Mizzet, Parun']",12407
"['Niv-Mizzet, the Firemind', 'Ophidian Eye']",11906
"[""Gonti's Aether Heart"", 'Decoction Module', 'Whirler Virtuoso']",10849
"['Niv-Mizzet, the Firemind', 'Tandem Lookout']",10681
"['Dualcaster Mage', 'Ghostly Flicker']",10542
"['Storm-Kiln Artist', 'Thousand-Year Storm', ""Narset's Reversal""]",9592
"['Astral Dragon', 'Cursed Mirror']",7922
"['The Tenth Doctor', 'Rousing Refrain']",7547
"['Birgi, God of Storytelling', 'Dualcaster Mage', 'Snap']",7275
"['Niv-Mizzet, Visionary', 'Niv-Mizzet, the Firemind']",7209
"['Thousand-Year Storm', 'Reiterate']",7127
"['Glint-Horn Buccaneer', 'Tandem Lookout']",7009
"['Glint-Horn Buccaneer', 'Ophidian Eye']",6873
"['Mystic Forge', ""Sensei's Divining Top"", 'Enthusiastic Mechanaut']",6688
"['Twincast', 'Reverberate']",6458
"['Body of Knowledge', 'Niv-Mizzet, Parun']",5245
"['The Locust God', 'Skullclamp', ""Ashnod's Altar""]",4804
"['Underworld Breach', 'Frantic Search', ""Dragon's Rage Channeler""]",4604
"['Frantic Search', 'Underworld Breach', 'Thousand-Year Storm']",4435
"['Body of Knowledge', 'Niv-Mizzet, the Firemind']",4327
"['The Reality Chip', ""Sensei's Divining Top"", 'Enthusiastic Mechanaut']",4175
"['Frenetic Efreet', 'Tavern Scoundrel']",4164
"['Dualcaster Mage', 'Sublime Epiphany']",4158
"[""Brass's Bounty"", 'Mechanized Production']",3840
"['Frenetic Efreet', 'Chance Encounter']",3733
"['Dualcaster Mage', 'Displace']",3701
"['Dualcaster Mage', 'Essence Flux']",3640
"['Dualcaster Mage', 'Rite of Replication']",3601
"['The Locust God', 'Sage of the Falls']",3564
"['Fury Storm', 'Archmage Emeritus']",3547
"['Twincast', 'Increasing Vengeance']",3542
"['Dockside Extortionist', 'Deadeye Navigator']",3482
"['Dockside Extortionist', 'Mechanized Production']",3454
"['Brallin, Skyshark Rider', 'Curiosity']",3441
"['Storm-Kiln Artist', 'Swarm Intelligence', ""Narset's Reversal""]",3439
"['Malcolm, Keen-Eyed Navigator', 'Reckless Fireweaver', 'Trickery Charm']",3232
"['Dockside Extortionist', 'Barrin, Master Wizard']",3156
"['Malcolm, Keen-Eyed Navigator', 'Reckless Fireweaver', 'Maskwood Nexus']",3054
"['Birgi, God of Storytelling', ""Sensei's Divining Top"", 'Etherium Sculptor']",2935
"['Terror of the Peaks', 'Rite of Replication']",2905
"['Expansion // Explosion', 'Twincast']",2897
"['Mizzix of the Izmagnus', 'Frantic Search', 'Reiterate']",2793
"['Birgi, God of Storytelling', ""Sensei's Divining Top"", 'The Reality Chip']",2707
"['Teach by Example', 'Increasing Vengeance']",2701
"['Primal Amulet', 'Frantic Search', 'Reiterate']",2578
"['Okaun, Eye of Chaos', 'Frenetic Efreet', ""Chandra's Ignition""]",2559
"[""Baral's Expertise"", 'Dualcaster Mage']",2506
"['Fury Storm', 'Ral, Storm Conduit']",2495
"['Mizzix of the Izmagnus', 'Seething Song', 'Reiterate']",2491
"['Kiki-Jiki, Mirror Breaker', 'Deceiver Exarch']",2395
"['Turnabout', 'Reiterate']",2365
"['Kiki-Jiki, Mirror Breaker', 'Pestermite']",2340
"['Teferi, Master of Time', 'Ichormoon Gauntlet', ""Rowan's Talent""]",2269
"['Birgi, God of Storytelling', ""Sensei's Divining Top"", 'Enthusiastic Mechanaut']",2247
"['Swarm Intelligence', 'Reiterate']",2241
"['River Song', 'Timestream Navigator']",2206
"[""Sensei's Divining Top"", 'Crystal Skull, Isu Spyglass', 'Enthusiastic Mechanaut']",2202
"['Alania, Divergent Storm', 'Return the Favor']",2153
"['Neera, Wild Mage', 'Displacer Kitten']",2144
"['The Locust God', 'Skullclamp', 'Phyrexian Altar']",2141
"['Scourge of Valkas', 'Rite of Replication']",2119
"['Dualcaster Mage', ""Irenicus's Vile Duplication""]",1996
"['Dualcaster Mage', 'Cackling Counterpart']",1975
"['The Locust God', 'Kindred Discovery']",1933
"['Glint-Horn Buccaneer', 'Ghostly Pilferer', 'Curiosity']",1920
"['The Locust God', 'Witty Roastmaster', 'Curiosity']",1881
"['Kiki-Jiki, Mirror Breaker', 'Corridor Monitor']",1876
"['Malcolm, Keen-Eyed Navigator', 'Ingenious Artillerist', 'Maskwood Nexus']",1876
