name,saltiness,deck_count
Tariff,0.64,513
Decimator Web,0.64,2961
Norn's Annex,0.64,53073
"Yisan, the Wanderer Bard",0.64,14573
"Dihada, Binder of Wills",0.64,27944
"Delney, Streetwise Lookout",0.64,70341
Rings of Brighthearth,0.64,86397
Goblin Welder,0.64,69001
Personal Tutor,0.64,45343
Mob Rule,0.64,35641
Void Mirror,0.64,3644
"The Master, Multiplied",0.64,22159
Mayhem Devil,0.64,129206
Curse of Opulence,0.64,104578
False Prophet,0.64,1441
Amalia Benavides Aguirre,0.64,21053
Spiteful Visions,0.64,38702
Planar Void,0.64,5202
Vorpal Sword,0.64,40724
"Minamo, School at Water's Edge",0.64,126308
Lightning Greaves,0.64,1448645
Tree of Perdition,0.64,27842
Sanctum Weaver,0.64,145918
Sedge Sliver,0.64,7013
Unstable Obelisk,0.64,28781
Quicksilver Fountain,0.64,5750
Captivating Glance,0.64,3468
Dromoka's Gift,0.64,279
Disappearing Act,0.64,1788
Incite Rebellion,0.64,2258
Pariah,0.64,24749
Bouncer's Beatdown,0.64,1484
Turn Aside,0.64,14476
Pick-a-Beeble,0.64,15
Aethersnatch,0.64,4080
Enduring Renewal,0.64,2631
Steely Resolve,0.64,10231
Bird Admirer,0.64,3606
Pacifism,0.64,17301
Coercion,0.64,713
Mayael's Aria,0.64,16927
Ertai's Scorn,0.64,11197
Reiver Demon,0.64,8337
Arachnus Web,0.64,5544
Phyrexian Crusader,0.64,12174
Gix's Command,0.64,16462
Rally to Battle,0.64,744
Hurloon Shaman,0.64,450
Angler Turtle,0.64,4622
Override,0.64,1431
Tranquil Path,0.64,242
Bitter Ordeal,0.64,4067
Dimir Machinations,0.64,6069
Soul Sculptor,0.64,309
Freyalise's Radiance,0.64,24
Rug of Smothering,0.64,24638
Cinderhaze Wretch,0.64,4062
Ravenous Trap,0.64,1330
Paraselene,0.64,1268
Ochran Assassin,0.64,5384
Juntu Stakes,0.64,527
Arcbound Tracker,0.64,8036
Alms Collector,0.64,26511
Island,0.64,2597023
Seize the Day,0.64,63110
"Kokusho, the Evening Star",0.63,47169
"Ashaya, Soul of the Wild",0.63,90479
Marionette Master,0.63,92715
"Kruphix, God of Horizons",0.63,23678
Natural Affinity,0.63,5855
"Valakut, the Molten Pinnacle",0.63,61866
Liliana's Caress,0.63,35048
Carpet of Flowers,0.63,94126
Single Combat,0.63,48801
Sludge Monster,0.63,30169
"Urza, Chief Artificer",0.63,10710
Veil of Summer,0.63,153178
Geode Rager,0.63,37906
Saw in Half,0.63,93576
"Marisi, Breaker of the Coil",0.63,21385
Court of Ambition,0.63,51048
Dissolve,0.63,18858
Tom Bombadil,0.63,279
Fleshbag Marauder,0.63,107855
Mana Flare,0.63,28766
Rampaging Ferocidon,0.63,42124
Greater Good,0.63,129703
High Tide,0.63,105388
"Tamiyo, Inquisitive Student",0.63,6572
"Pearl-Ear, Imperial Advisor",0.63,26689
Pandemonium,0.62,6383
Owlbear Cub,0.62,13949
Instigator,0.62,187
Consulate Crackdown,0.62,2130
Tree of Redemption,0.62,19165
Eidolon of Obstruction,0.62,1597
Netherborn Phalanx,0.62,2990
Put Away,0.62,405
"Numot, the Devastator",0.62,1563
In Bolas's Clutches,0.62,4754
Visage of Bolas,0.62,2274
Pristine Angel,0.62,1899
War Elephant,0.62,489
Sentinel of the Pearl Trident,0.62,701
Progenitus,0.62,10556
Avatar of Slaughter,0.62,11451
Harsh Scrutiny,0.62,1275
Festering Wound,0.62,1010
_____-o-saurus,0.62,461
Mindstab,0.62,538
Defiler of Souls,0.62,894
"Kaheera, the Orphanguard",0.62,16411
Dark Hatchling,0.62,2712
Release to Memory,0.62,14624
Zirilan of the Claw,0.62,1496
"Meishin, the Mind Cage",0.62,2413
Choking Sands,0.62,553
Cunning Bandit,0.62,322
"Sidisi, Brood Tyrant",0.62,16473
Shifting Sky,0.62,1571
Silent Specter,0.62,904
Oppressive Rays,0.62,2703
Soul Swindler,0.62,3341
Firmament Sage,0.62,486
Psychic Trance,0.62,337
"Kiora, the Crashing Wave",0.62,15199
Forfend,0.62,365
Defang,0.62,779
Alluring Siren,0.62,984
Dragonlord Kolaghan,0.62,11352
Voidwalk,0.62,5230
Gerrard's Verdict,0.62,463
Safehold Elite,0.62,1867
Avatar of Might,0.62,1517
Component Collector,0.62,352
"Obzedat, Ghost Council",0.62,6777
Shrouded Serpent,0.62,257
"Wort, Boggart Auntie",0.62,2840
Vedalken Ghoul,0.62,318
Calculating Lich,0.62,6416
Spirit of the Night,0.62,1379
Spined Karok,0.62,403
"Sarulf, Realm Eater",0.62,3893
Isperia the Inscrutable,0.62,1009
Soratami Seer,0.62,1153
Porphyry Nodes,0.62,991
Cave-In,0.62,1877
Arcane Artisan,0.62,2182
Contempt,0.62,243
Kiora Bests the Sea God,0.62,27406
Unlawful Entry,0.62,323
Alpine Moon,0.62,500
Dreams of Steel and Oil,0.62,1869
Samite Elder,0.62,675
Mob Mentality,0.62,1017
Barter in Blood,0.62,4897
Spiritual Sanctuary,0.62,54
Myrkul's Edict,0.62,16599
Blessed Wind,0.62,298
Hankyu,0.62,989
Paragon of Eternal Wilds,0.62,1927
Impending Doom,0.62,521
Chittering Harvester,0.62,10677
Plague Drone,0.62,15383
Noxious Assault,0.62,13400
Leshrac's Sigil,0.62,2759
Talus Paladin,0.62,2080
Apocalypse Chime,0.62,98
Worship,0.62,5715
Sundering Stroke,0.62,1054
"Jeleva, Nephalia's Scourge",0.62,1839
Planar Cleansing,0.62,9899
Imperial Edict,0.62,157
Mind Rot,0.62,4598
Dominating Licid,0.62,1005
Verge Rangers,0.62,20446
Malevolent Witchkite,0.62,4800
Sorcerous Spyglass,0.62,3286
Temporary Lockdown,0.62,2349
Stormbound Geist,0.62,404
Medomai the Ageless,0.62,10305
Sarcomancy,0.62,352
Sleeping Potion,0.62,126
Elvish Berserker,0.62,656
Avalanche Riders,0.62,1506
Cirith Ungol Patrol,0.62,4512
Magical Hack,0.62,727
Steal Artifact,0.62,1902
Purify,0.62,447
Axgard Braggart,0.62,256
Enduring Ideal,0.62,2222
Wildgrowth Walker,0.62,4770
Garth One-Eye,0.62,5577
"Monoxa, Midway Manager",0.62,4091
Spinning Wheel,0.62,2461
Porcuparrot,0.62,5089
Indomitable Creativity,0.62,6413
Needle Specter,0.62,2111
Beacon Hawk,0.62,1074
Smoldering Tar,0.62,201
Sunspring Expedition,0.62,2029
Cemetery Gatekeeper,0.62,14556
Extirpate,0.62,836
Crowd of Cinders,0.62,227
Guild Feud,0.62,1447
Hijack,0.62,9161
Psychic Intrusion,0.62,1141
Dragon Arch,0.62,10450
Fight the _____ Fight,0.62,387
Splendid Reclamation,0.62,91859
Endurance,0.62,60417
Mishra's Helix,0.62,492
Disrupt Decorum,0.62,93203
Temur Sabertooth,0.62,85957
The Reaver Cleaver,0.62,110234
Arcane Denial,0.62,574122
Displaced Dinosaurs,0.62,22962
"Heliod, the Radiant Dawn",0.62,30605
Chain of Vapor,0.62,108389
Mizzix's Mastery,0.62,94720
Cryptic Command,0.62,52963
"Mirri, Weatherlight Duelist",0.62,39612
Shard of the Nightbringer,0.62,19467
Combat Celebrant,0.62,86155
"Realmbreaker, the Invasion Tree",0.62,36451
Ruin Crab,0.62,67290
"Urabrask, Heretic Praetor",0.62,31004
Taiga,0.62,161761
Whelming Wave,0.62,50923
"Neheb, the Eternal",0.62,70650
"Bristly Bill, Spine Sower",0.62,61194
Final Act,0.62,15168
Springheart Nantuko,0.62,73991
Rakdos's Return,0.62,5145
Rewind,0.62,85194
Orchard Elemental,0.62,1505
Takklemaggot,0.62,567
Ironclaw Curse,0.62,51
Archmage Ascension,0.62,9601
Overwhelming Intellect,0.62,2274
Earth Rift,0.62,392
Minion of Leshrac,0.62,745
The Akroan War,0.62,15191
Might Sliver,0.62,14189
Magnetic Theft,0.62,13662
Ark of Blight,0.62,405
Capital Punishment,0.62,9482
Diplomatic Immunity,0.62,15808
Thermokarst,0.62,342
"Ezuri, Claw of Progress",0.62,12410
Swords to Plowshares,0.62,1663732
Mind Warp,0.61,193
Fate Unraveler,0.61,56162
"Aclazotz, Deepest Betrayal",0.61,32048
"Klauth, Unrivaled Ancient",0.61,47490
Fight or Flight,0.61,2719
Whir of Invention,0.61,81479
Mind Grind,0.61,21440
Tezzeret the Seeker,0.61,67422
"Toski, Bearer of Secrets",0.61,190362
Archangel of Thune,0.61,64163
Sulfuric Vortex,0.61,36800
"Marchesa, the Black Rose",0.61,14414
Damnation,0.61,216942
Dauntless Dismantler,0.61,47347
Demonic Collusion,0.61,3093
Swooping Pteranodon,0.61,8142
Urabrask,0.61,71221
Spreading Rot,0.61,272
Sword of Hearth and Home,0.61,115908
Filth,0.61,19587
"Nezahal, Primal Tide",0.61,102151
Legolas's Quick Reflexes,0.61,58898
"Tasha, the Witch Queen",0.61,20215
Junk Winder,0.61,65319
"Rakdos, Lord of Riots",0.61,32113
"Gadwick, the Wizened",0.61,20583
Vorinclex,0.61,45961
Chandra's Ignition,0.61,138576
Raze,0.61,1001
"Nethroi, Apex of Death",0.61,13391
Dragon Tempest,0.61,104248
Overencumbered,0.61,5102
Cloudshredder Sliver,0.61,32293
Dark Ritual,0.61,666972
Eerie Ultimatum,0.6,71760
Spinebiter,0.6,3436
Reconnaissance,0.6,66496
Creeping Dread,0.6,4001
"Kykar, Wind's Fury",0.6,29511
"Tekuthal, Inquiry Dominus",0.6,60046
"Gargos, Vicious Watcher",0.6,21801
Sower of Discord,0.6,29625
"Jeska, Thrice Reborn",0.6,24067
"Gisa, Glorious Resurrector",0.6,48358
Maze's End,0.6,38008
Urza's Incubator,0.6,196831
Relentless Assault,0.6,72770
Reset,0.6,2225
Norn's Decree,0.6,31511
Bond of Discipline,0.6,16838
Thriving Rats,0.6,802
A Little Chat,0.6,5369
Hesitation,0.6,938
Unravel the Aether,0.6,4686
Ashiok's Erasure,0.6,1541
Kithkin Rabble,0.6,439
Basal Sliver,0.6,9780
Yixlid Jailer,0.6,400
"Rem Karolus, Stalwart Slayer",0.6,13567
Evangelize,0.6,519
Tilonalli's Skinshifter,0.6,878
Jinxed Ring,0.6,2106
Luminous Bonds,0.6,1540
Bounty Hunter,0.6,3508
Dracoplasm,0.6,121
Soul Exchange,0.6,3336
Sisters of Stone Death,0.6,1737
Serra Redeemer,0.6,11177
Decaying Soil,0.6,536
Elminster's Simulacrum,0.6,14487
Douse,0.6,1286
Surgical Extraction,0.6,2814
"Kaima, the Fractured Calm",0.6,1235
"Tezzeret, Master of Metal",0.6,1635
Reign of Chaos,0.6,198
Psychic Miasma,0.6,320
Down for Repairs,0.6,317
Nezumi Shortfang,0.6,3581
Dragon's Approach,0.6,12117
Mind Swords,0.6,508
Frost Titan,0.6,11324
Flare of Malice,0.6,42381
Dead of Winter,0.6,9402
"Gideon, Ally of Zendikar",0.6,9983
Curse of the Bloody Tome,0.6,5270
Glamerdye,0.6,3470
Hanna's Custody,0.6,942
Goblin War Strike,0.6,22265
Arc Lightning,0.6,2681
Nimblewright Schematic,0.6,14213
Annex,0.6,1459
Taunting Kobold,0.6,8564
Ray of Enfeeblement,0.6,482
Sylvan Yeti,0.6,310
Blue Elemental Blast,0.6,7613
Decision Paralysis,0.6,291
Yellow Scarves General,0.6,141
Markov Blademaster,0.6,3811
Shimmering Wings,0.6,5227
Quest for the Nihil Stone,0.6,7563
"Now for Wrath, Now for Ruin!",0.6,6425
Builder's Bane,0.6,431
Thopter Foundry,0.6,12551
Hex,0.6,13434
Renewal,0.6,514
Feast of Worms,0.6,356
Sleep,0.6,19114
Thraximundar,0.6,8406
Teleport,0.6,142
Hungry Flames,0.6,1101
"Grenzo, Dungeon Warden",0.6,3500
Predator Ooze,0.6,15996
Gideon of the Trials,0.6,7936
Virulent Plague,0.6,2740
Dream Leash,0.6,756
Peer Pressure,0.6,5345
"Diaochan, Artful Beauty",0.6,583
Freyalise Supplicant,0.6,124
Ill-Gotten Gains,0.6,4591
Charmed Sleep,0.6,2804
Massacre,0.6,5740
General's Kabuto,0.6,3820
Belltoll Dragon,0.6,1404
Apprentice Wizard,0.6,7324
Molder Slug,0.6,1936
Spellbinder,0.6,2542
Safeguard,0.6,70
Phantom Nishoba,0.6,5016
Psychic Surgery,0.6,3359
Drain Life,0.6,3031
Didgeridoo,0.6,2107
Lord of Extinction,0.6,22923
Archetype of Finality,0.6,17171
"Ith, High Arcanist",0.6,1711
Rethink,0.6,709
Lumengrid Sentinel,0.6,1064
Knight of Valor,0.6,202
"Atemsis, All-Seeing",0.6,7976
"Nissa, Ascended Animist",0.6,40740
Contaminant Grafter,0.6,34230
Dovin Baan,0.6,6606
"Shalai, Voice of Plenty",0.6,84585
"Ilharg, the Raze-Boar",0.6,39404
Eldrazi Displacer,0.6,38527
Ancient Gold Dragon,0.6,53316
"Calix, Guided by Fate",0.6,32013
Furnace of Rath,0.6,23869
Life from the Loam,0.6,108428
Bloated Contaminator,0.6,45754
Cataclysmic Gearhulk,0.6,21377
"Venser, the Sojourner",0.6,18829
"Kardur, Doomscourge",0.59,84929
"Breya, Etherium Shaper",0.59,1825
"Arvinox, the Mind Flail",0.59,21355
Magistrate's Veto,0.59,378
Cover of Darkness,0.59,52527
Sefris of the Hidden Ways,0.59,2247
Embercleave,0.59,74077
Wishclaw Talisman,0.59,156013
Heartbeat of Spring,0.59,24806
Herald of Secret Streams,0.59,81009
"Sidisi, Undead Vizier",0.59,49639
Disrupting Shoal,0.59,2932
Don't Move,0.59,12255
Eaten by Piranhas,0.59,29851
The Eternal Wanderer,0.59,74933
Wave Goodbye,0.59,43229
"Yorvo, Lord of Garenbrig",0.59,10563
Innkeeper's Talent,0.59,71197
Cherished Hatchling,0.59,2053
Twinning Staff,0.59,58024
Simian Spirit Guide,0.59,153216
Delighted Halfling,0.59,314672
Archetype of Imagination,0.59,57741
"Karlach, Fury of Avernus",0.59,80675
"Eluge, the Shoreless Sea",0.59,15173
World at War,0.59,24855
Mythos of Snapdax,0.59,19183
Plaguecrafter,0.59,136153
Psychic Frog,0.58,23016
Sudden Spoiling,0.58,50019
Trapjaw Tyrant,0.58,13782
Zulaport Chainmage,0.58,142
Etherium-Horn Sorcerer,0.58,11592
Fractured Identity,0.58,21594
"Maga, Traitor to Mortals",0.58,1496
Countervailing Winds,0.58,9561
Salvaging Station,0.58,3849
"Aminatou, the Fateshifter",0.58,20093
Geist of Saint Traft,0.58,6295
Maw of the Mire,0.58,288
Ring of Immortals,0.58,307
Kami of False Hope,0.58,17625
Koth of the Hammer,0.58,9867
Lodestone Bauble,0.58,3079
Souldrinker,0.58,2401
Heart Sliver,0.58,16389
"Valentin, Dean of the Vein",0.58,13063
Lava Storm,0.58,152
"Firkraag, Cunning Instigator",0.58,19686
"Gimli, Counter of Kills",0.58,17630
Captain Rex Nebula,0.58,1013
"Edric, Spymaster of Trest",0.58,30893
Custody Battle,0.58,4164
Bonesplitter Sliver,0.58,8558
Ogre Geargrabber,0.58,155
Web of Inertia,0.58,5163
Koskun Falls,0.58,6010
Reap Intellect,0.58,78
Firewake Sliver,0.58,8725
Krosan Drover,0.58,5235
The Flesh Is Weak,0.58,3962
Deny the Witch,0.58,9433
Mindleech Ghoul,0.58,1552
Bringer of the Green Dawn,0.58,1035
Prying Questions,0.58,97
"Kyoki, Sanity's Eclipse",0.58,1755
Ajani Vengeant,0.58,4307
Merry-Go-Round,0.58,8
Thieving Skydiver,0.58,56630
Brink of Madness,0.58,385
"Kutzil, Malamet Exemplar",0.58,148972
Deflecting Palm,0.58,66853
Stolen Strategy,0.58,30436
Fractured Sanity,0.58,51052
Court of Cunning,0.58,44912
Bringer of the Last Gift,0.58,20452
"Phlage, Titan of Fire's Fury",0.58,5391
"Comet, Stellar Pup",0.58,15234
Nesting Dovehawk,0.58,36824
Golgari Grave-Troll,0.58,43657
Conqueror's Flail,0.58,41269
Extinction,0.58,1159
Shadow in the Warp,0.58,41418
Cruel Reality,0.58,9424
Sower of Temptation,0.58,30496
Marneus Calgar,0.58,8911
Lotus Cobra,0.58,195884
Lim-Dûl's Vault,0.58,50827
"Gríma, Saruman's Footman",0.58,33144
"Kyler, Sigardian Emissary",0.58,15929
Triskelion,0.58,24005
Annie Joins Up,0.58,56985
Wrath of God,0.58,159669
Damning Verdict,0.58,46505
"All of History, All at Once",0.57,9485
Transmutation Font,0.57,18308
Thalakos Deceiver,0.57,2477
Beastmaster Ascension,0.57,146995
Prologue to Phyresis,0.57,39765
Rune-Scarred Demon,0.57,74202
Eladamri's Call,0.57,127556
Growing Rites of Itlimoc,0.57,150644
Debt to the Deathless,0.57,41516
The Twelfth Doctor,0.57,11873
Celebr-8000,0.57,12790
Resolute Archangel,0.57,9619
Helm of Obedience,0.57,4932
Dragon Grip,0.57,628
Voracious Fell Beast,0.57,16600
Sudden Storm,0.57,346
"Dromar, the Banisher",0.57,829
"Ral, Crackling Wit",0.57,28350
Primal Order,0.57,3439
Rootwater Thief,0.57,1513
Sphinx of the Chimes,0.57,540
Yavimaya Dryad,0.57,10892
Battle Mammoth,0.57,14547
Shattergang Brothers,0.57,1430
Skittering Surveyor,0.57,7121
Screeching Sliver,0.57,2180
Final Fortune,0.57,55077
Prime Speaker Vannifar,0.57,9691
Jester's Mask,0.57,930
Full Flowering,0.57,9984
Priest of the Wakening Sun,0.57,2957
Lucent Liminid,0.57,38
"Esior, Wardwing Familiar",0.57,23465
Court Cleric,0.57,193
Stunted Growth,0.57,91
Makindi Ox,0.57,1920
Relic Sloth,0.57,154
"Kuon, Ogre Ascendant",0.57,692
Enslaved Scout,0.57,51
Pearl Dragon,0.57,102
Urborg Phantom,0.57,10
Djinn of Infinite Deceits,0.57,4676
Screamer-Killer,0.57,9096
Crystal Chimes,0.57,12567
Virtue's Ruin,0.57,381
"Archelos, Lagoon Mystic",0.57,10179
Angelic Captain,0.57,1235
Cavern of Souls,0.57,411591
Grim Hireling,0.57,114878
Drop Tower,0.57,4
Tunnel of Love,0.57,10
Lurking Predators,0.57,38985
Star of Extinction,0.57,28822
Argothian Enchantress,0.57,31547
"Ob Nixilis, the Hate-Twisted",0.57,29819
Lithoform Engine,0.57,74449
Diabolic Tutor,0.57,177035
"Sephara, Sky's Blade",0.57,75575
Silent-Blade Oni,0.57,37740
"Rin and Seri, Inseparable",0.57,1816
"Pantlaza, Sun-Favored",0.57,20086
Ravenous Baboons,0.57,3359
Circle of Dreams Druid,0.57,92865
Shared Animosity,0.57,127012
Terastodon,0.57,85324
Cryptothrall,0.57,32541
"Massacre Girl, Known Killer",0.56,34866
Casualties of War,0.56,57376
Dance of the Dead,0.56,47442
Ensnared by the Mara,0.56,22709
"Otawara, Soaring City",0.56,465660
Hibernation Sliver,0.56,19732
Their Name Is Death,0.56,28772
"Ian Malcolm, Chaotician",0.56,2895
Stone of Erech,0.56,32293
Nulldrifter,0.56,27954
Rite of Replication,0.56,87209
Idyllic Tutor,0.56,118474
"Umbris, Fear Manifest",0.56,4818
Necrotic Ooze,0.56,24569
Wavecrash Triton,0.56,390
Pain's Reward,0.56,3972
Underground Sea,0.56,204884
Mass Polymorph,0.56,4629
Mists of Lórien,0.56,11507
Reshape,0.56,38403
Necroduality,0.56,36764
Goblin Gardener,0.56,876
"Thassa, Deep-Dwelling",0.56,81229
"Sigarda, Font of Blessings",0.56,32060
Port Razer,0.56,55535
Descent into Avernus,0.56,93555
Hellkite Charger,0.56,48594
Nuka-Cola Vending Machine,0.56,49034
Savage Order,0.56,18041
Spiteful Sliver,0.56,23174
Tyrant of Discord,0.56,3469
"Purphoros, Bronze-Blooded",0.56,22346
Angel of Serenity,0.56,33159
Vesuvan Duplimancy,0.56,29980
Plague Engineer,0.56,3510
Lord of the Nazgûl,0.56,19866
Witch of the Moors,0.56,36844
Virtue of Persistence,0.56,61154
Everything Comes to Dust,0.56,21226
"Yorion, Sky Nomad",0.56,25772
"Junji, the Midnight Sky",0.56,76734
Spark Double,0.56,191053
Guardian Project,0.56,228201
Angel of Destiny,0.56,39512
Complaints Clerk,0.56,2692
Torrent Elemental,0.56,2105
Misinformation,0.56,1349
Fallow Earth,0.56,101
Battle at the Helvault,0.56,17942
Sturdy Hatchling,0.56,145
"Angrath, the Flame-Chained",0.56,9740
Wight,0.56,1822
Muse Vortex,0.56,3412
Ethereal Haze,0.56,7896
Nezumi Graverobber,0.56,8219
Horned Kavu,0.56,742
Erosion,0.56,196
Chaos Lord,0.56,281
Uncontrolled Infestation,0.56,220
Rakdos Augermage,0.56,289
Rathi Assassin,0.56,627
Reality Acid,0.56,10088
Wilt-Leaf Liege,0.56,6353
Sliversmith,0.56,2056
Metamorphic Alteration,0.56,3668
Pestilence Demon,0.56,9718
Alchemist's Gambit,0.56,8565
Nature's Resurgence,0.56,974
Tyrannize,0.56,234
Loxodon Hierarch,0.56,2143
Crafty Cutpurse,0.56,10080
Pharika's Libation,0.56,5076
Witness the End,0.56,362
Icy Manipulator,0.56,8909
Distended Mindbender,0.56,1780
Cabal Conditioning,0.56,974
Vent Sentinel,0.56,891
Goblin Dynamo,0.56,222
Psychotrope Thallid,0.56,12717
Guild Summit,0.56,13541
Fresh Meat,0.56,7833
The Rack,0.56,2615
Harmonic Convergence,0.56,293
Sparring Mummy,0.56,989
Whirling Dervish,0.56,152
Moira and Teshar,0.56,4085
"Gandalf, Westward Voyager",0.56,5425
Urza's Filter,0.56,3717
Exquisite Archangel,0.56,5475
"Moira, Urborg Haunt",0.56,4987
"Basandra, Battle Seraph",0.56,5454
Grip of Phyresis,0.56,1408
Kirtar's Desire,0.56,382
Scourge Servant,0.56,642
Aligned Hedron Network,0.56,3570
Screaming Swarm,0.56,2359
Deathless Angel,0.56,2098
Hatchery Sliver,0.56,16909
Chief of the Edge,0.56,3662
Ghoulflesh,0.56,203
Field of Dreams,0.56,1738
Rain of Tears,0.56,721
Lose Calm,0.56,958
Mobilize,0.56,5691
"Unesh, Criosphinx Sovereign",0.56,5793
Bubbling Beebles,0.56,113
Planeswalker's Mischief,0.56,292
Wirewood Herald,0.56,5937
Secret Plans,0.56,10958
Breaching Leviathan,0.56,9153
Primaris Eliminator,0.56,12126
Voidmage Prodigy,0.56,5065
Ashiok's Adept,0.56,338
"Tasigur, the Golden Fang",0.56,5410
Rendclaw Trow,0.56,1572
Magnus the Red,0.56,16008
Ebonblade Reaper,0.56,8948
Torrent Sculptor,0.56,506
Grisly Spectacle,0.56,7388
Yellow Scarves Cavalry,0.56,351
Lay Bare the Heart,0.56,533
Basalt Golem,0.56,429
Galadhrim Guide,0.56,3103
Curse of Fool's Wisdom,0.56,17199
Old Man Willow,0.56,7490
Reroute,0.56,1816
Tah-Crop Elite,0.56,453
Angel of Flight Alabaster,0.56,5302
Distorting Lens,0.56,2937
Groundbreaker,0.56,3334
"Ramirez DePietro, Pillager",0.56,22986
Ethereal Forager,0.56,2023
Themberchaud,0.56,3658
Murderous Redcap,0.56,19608
"Cecily, Haunted Mage",0.56,1249
Attrition,0.56,22160
"Zethi, Arcane Blademaster",0.56,1882
Pretender's Claim,0.56,228
Spawnbroker,0.56,1564
Riftwing Cloudskate,0.56,2437
Code of Constraint,0.56,328
Skullscorch,0.56,183
Eldrazi Skyspawner,0.56,5867
Congregation at Dawn,0.56,13876
Scroll of Fate,0.56,26238
Desolation Giant,0.56,1003
Tireless Hauler,0.56,2317
Ore-Scale Guardian,0.56,325
Claws of Gix,0.56,13938
Magnetic Web,0.56,1368
Reconstructed Thopter,0.56,1028
Wall of Nets,0.56,4742
Scheming Fence,0.56,6893
Spiteful Hexmage,0.56,1657
Dragon Appeasement,0.56,336
Syphon Soul,0.56,4237
Illusions of Grandeur,0.56,6097
Sleeper's Robe,0.56,2760
"Piru, the Volatile",0.56,8968
Iron Maiden,0.56,7642
Apprentice Sorcerer,0.56,504
Soldevi Adnate,0.56,13691
Bitter Feud,0.56,3564
Void Squall,0.56,239
Ersatz Gnomes,0.56,252
Dueling Grounds,0.56,6108
Rowen,0.56,1563
Augury Raven,0.56,1239
Souvenir Snatcher,0.56,12697
Cogwork Grinder,0.56,20
Icy Blast,0.56,16521
Meditate,0.56,443
Spectral Cloak,0.56,125
Exclusion Mage,0.56,3358
Divine Deflection,0.56,1086
Snag,0.56,1397
Merchant Scroll,0.56,44977
Dolmen Gate,0.56,59636
Day of Judgment,0.55,48350
White Sun's Twilight,0.55,66995
Court of Locthwain,0.55,36396
"Xantcha, Sleeper Agent",0.55,27542
Strix Serenade,0.55,72308
Dryad of the Ilysian Grove,0.55,210609
Duress,0.55,30949
Sundial of the Infinite,0.55,35814
Gitaxian Probe,0.55,155771
Strionic Resonator,0.55,173492
Viral Drake,0.55,16347
Black Sun's Zenith,0.55,41686
Queen Marchesa,0.55,29197
Arachnogenesis,0.55,59696
Railway Brawler,0.55,36145
"Indominus Rex, Alpha",0.55,1641
Ertai Resurrected,0.55,36791
Ohran Frostfang,0.55,158642
Kindred Discovery,0.55,208530
Life Finds a Way,0.55,9980
Aerial Extortionist,0.55,36223
Kuldotha Forgemaster,0.55,41354
Harsh Mentor,0.55,44781
Illusory Gains,0.55,979
Roiling Vortex,0.55,43900
Defensive Formation,0.55,1037
Eldrazi Ravager,0.55,5565
Reflections of Littjara,0.55,136416
Lord Windgrace,0.55,6784
Herald of Hoofbeats,0.55,25741
Hellkite Courser,0.55,40533
"Vraska, the Silencer",0.55,13407
Ritual of the Machine,0.55,1815
Sylvan Safekeeper,0.55,83300
Quarum Trench Gnomes,0.55,81
Midnight Banshee,0.55,12617
Mnemonic Betrayal,0.55,49391
"Arahbo, Roar of the World",0.55,4692
Luminarch Ascension,0.55,37950
Cytoplast Manipulator,0.55,3839
Rankle's Prank,0.55,16622
Ecological Appreciation,0.55,5512
Counterintelligence,0.55,151
Mind Unbound,0.55,5260
Groundshaker Sliver,0.55,2519
Barrow Ghoul,0.55,156
Mirror Strike,0.55,1740
Phyrexian Portal,0.55,1318
Deathgrip,0.55,1801
Leyline of Punishment,0.55,7261
Commune with Dinosaurs,0.55,9125
Displacement Wave,0.55,6413
Molder Beast,0.55,373
Two-Headed Giant of Foriys,0.55,86
Trollhide,0.55,1809
Tome Scour,0.55,5540
Magistrate's Scepter,0.55,12695
Leyline of Sanctity,0.55,12970
Animist's Might,0.55,15974
Emissary of Despair,0.55,1311
Stronghold Machinist,0.55,1120
Fork,0.55,11603
Bearer of Memory,0.55,457
Blinding Mage,0.55,1914
Thought Distortion,0.55,809
Knight-Captain of Eos,0.55,10019
Flowstone Infusion,0.55,563
Precognition,0.55,571
Mnemonic Nexus,0.55,1116
Hornswoggle,0.55,6068
Perilous Vault,0.55,10637
Tolarian Contempt,0.55,3719
Pestermite,0.55,8107
Zoologist,0.55,622
Tainted Adversary,0.55,9041
Night of Souls' Betrayal,0.55,7259
Harbinger of Night,0.55,2578
Necrotic Plague,0.55,2129
Danse Macabre,0.55,13747
Necroplasm,0.55,3928
Brink of Disaster,0.55,500
"Tameshi, Reality Architect",0.55,7466
Vivid Revival,0.55,819
Slaughter Games,0.55,270
Water Elemental,0.55,77
Artificial Evolution,0.55,4849
Fissure,0.55,659
"Ghired, Conclave Exile",0.55,4275
Neurok Stealthsuit,0.55,14348
Vivisurgeon's Insight,0.55,15240
"Toggo, Goblin Weaponsmith",0.55,13858
"Gonti, Lord of Luxury",0.55,64032
Night Shift of the Living Dead,0.55,10316
Fangblade Brigand,0.55,2869
Word of Command,0.55,1098
Fissure Vent,0.55,345
"Zhang He, Wei General",0.55,276
Umezawa's Jitte,0.55,31821
"Urborg, Tomb of Yawgmoth",0.54,547132
Archangel of Tithes,0.54,41666
Ulamog's Crusher,0.54,39223
Deepglow Skate,0.54,52306
Hall of Mirrors,0.54,20
Invert Polarity,0.54,31929
Phyrexian Metamorph,0.54,199659
